model_name,best_params,val_accuracy,inf_time
KNN,"{'n_neighbors': 3, 'weights': 'uniform'}",1.0,0.002567131519317627
RandomForest,"{'max_depth': None, 'n_estimators': 100}",1.0,0.005998287200927734
